id,question,response,answer,sql,r_num_cell,t_num_cell,linear_table
2206,What TV shows was Shagun Sharma seen in 2019?,"in 2019, shagun sharma was seen in the tv shows ""kuch rang pyar ke aise bhi"", ""gangaa"", ""laal ishq"", ""vikram betaal ki rahasya gatha"", and ""shaadi ke siyape"".","in 2019, shagun sharma played in the roles as pernia in laal ishq, vikram betaal ki rahasya gatha as rukmani/kashi and shaadi ke siyape as dua.","select title from T where year = 2019 and channel = ""star plus"" or channel = ""sony tv"" or channel = ""&tv"";",5,40,"title
kuch rang pyar ke aise bhi
gangaa
laal ishq
vikram betaal ki rahasya gatha
shaadi ke siyape"
15555,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,the voting results of the 1975 north vietnamese legislative election with regards to seats were that the vietnamese fatherland front won 424 seats out of a total of 424 seats.,"in the 1975 north vietnamese legislative election, the vietnamese fatherland front won all 424 seats.","select party, seats from T where _ = 100;",4,20,"party | seats
vietnamese fatherland front | 424
total | 424"
561,What roles did Christian Cooke play in 2009?,"in 2009, christian cooke played the roles of luke rutherford-van helsing in ""demons"" and lord dorian gaudain in ""trinity"".","during 2009, christian cooke played the lead role of luke rutherford in demons & lord dorian gaudain in trinity.","select title, role from T where year = 2009;",4,115,"title | role
demons | luke rutherford-van helsing
trinity | lord dorian gaudain"
9835,"Which track has the lowest bpm, and which has the highest on the Speed SFX series?","the track with the lowest bpm in the speed sfx series is ""rhythm & police (k.o.g g3 mix)"" with a bpm of 175, and the track with the highest bpm is ""mission: impossible theme"" with a bpm of 195.","the speed sfx's lowest bpm is 175 on tracks #5–16, and the highest bpm is 195 on #20 in the speed series.","select track, bpm from T where bpm = (select min(bpm) from T) or bpm = (select max(bpm) from T);",26,120,"track | bpm
rhythm & police (k.o.g g3 mix) | 175
7 | 175
feel good time | 175
men in black | 175
ghostbusters | 175
the power of love | 175
unchained melody | 175
may it be | 175
i don't wanna miss a thing (planet lution mix) | 175
my heart will go on (kcp remix) | 175
never ending story | 175
the raiders march | 175
mission: impossible theme | 195"
21418,When and in which club and league did Kazunari Okayama start his career?,kazunari okayama started his career in 1997 with yokohama marinos in the j1 league.,kazunari okayama joined j1 league club yokohama marinos (later yokohama f. marinos) in 1997.,"select season, club, league from T where row_number = 1;",3,276,"season | club | league
1997 | yokohama marinos | j1 league"
8032,How much overall damage did the German submarine U-438 cause?,"the german submarine u-438 caused a total damage of 17,541 tons.","the u-438 sank three ships, totalling 12,045 gross register tons (grt) and damaged one ship totalling 5,496 grt.",SELECT SUM(tonnage_grt) AS total_damage FROM T;,1,24,"total_damage
17541"
431,Who set the fastest average in Megaminx?,yu da-hyun (유다현) set the fastest average in megaminx with a time of 32.03 seconds.,the 32.03 seconds average of five solves is set by yu da-hyun (유다현) at cwr winter 2018.,"select name, fastest_average from T order by fastest_average asc limit 1;",2,20,"name | fastest_average
yu da-hyun (유다현) | 32.03s"
20853,What seasons did Faye appear for Hull City?,faye appeared for hull city in the seasons 2012-13 and 2013-14.,faye appeared for hull city in the 2012–13 and 2013–14 seasons.,select * from T,378,378,"row_number | club | season | league | league1 | league2 | fa_cup | fa_cup1 | league_cup | league_cup1 | europe | europe1 | total | total1
0 | club | season | division | apps | goals | apps | goals | apps | goals | apps | goals | apps | goals
1 | asec ndiambour | 1999–2000 | senegal premier league | none | none | none | none | — | — | none | none | none | none
2 | asec ndiambour | 2000–1 | senegal premier league | none | none | none | none | — | — | none | none | none | none
3 | asec ndiambour | total | total | 59 | 8 | none | none | — | — | 59 | 8 | none | none
4 | jeanne d'arc | 2001–2 | senegal premier league | 32 | 4 | none | none | — | — | 32 | 4 | none | none
5 | jeanne d'arc | total | total | 32 | 4 | none | none | — | — | 32 | 4 | none | none
6 | rc lens | 2002–3 | ligue 1 | 17 | 0 | 1 | 0 | 0 | 0 | 6 | 0 | 24 | 0
7 | rc lens | 2003–4 | ligue 1 | 18 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 19 | 0
8 | rc lens | total | total | 35 | 0 | 2 | 0 | 0 | 0 | 6 | 0 | 43 | 0
9 | istres (loan) | 2004–5 | ligue 1 | 28 | 0 | 0 | 0 | 0 | 0 | — | — | 28 | 0
10 | istres (loan) | total | total | 28 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 28 | 0
11 | bolton wanderers | 2005–6 | premier league | 27 | 1 | 1 | 0 | 2 | 0 | 7 | 0 | 37 | 1
12 | bolton wanderers | 2006–7 | premier league | 32 | 2 | 2 | 0 | 0 | 0 | — | — | 34 | 2
13 | bolton wanderers | 2007–8 | premier league | 1 | 0 | 0 | 0 | 0 | 0 | — | — | 1 | 0
14 | bolton wanderers | total | total | 60 | 3 | 3 | 0 | 2 | 0 | 7 | 0 | 72 | 3
15 | newcastle united | 2007–8 | premier league | 22 | 1 | 1 | 0 | 1 | 0 | — | — | 24 | 1
16 | newcastle united | total | total | 22 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 24 | 1
17 | stoke city | 2008–9 | premier league | 36 | 3 | 0 | 0 | 0 | 0 | — | — | 36 | 3
18 | stoke city | 2009–10 | premier league | 31 | 2 | 1 | 0 | 0 | 0 | — | — | 32 | 2
19 | stoke city | 2010–11 | premier league | 14 | 1 | 2 | 0 | 0 | 0 | — | — | 16 | 1
20 | stoke city | total | total | 81 | 6 | 3 | 0 | 0 | 0 | 0 | 0 | 84 | 6
21 | west ham united | 2011–12 | championship | 29 | 0 | 0 | 0 | 0 | 0 | — | — | 29 | 0
22 | west ham united | total | total | 29 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 29 | 0
23 | hull city | 2012–13 | championship | 31 | 4 | 0 | 0 | 2 | 0 | — | — | 33 | 4
24 | hull city | 2013–14 | premier league | 3 | 0 | 3 | 0 | 1 | 0 | — | — | 7 | 0
25 | hull city | total | total | 34 | 4 | 3 | 0 | 3 | 0 | 0 | 0 | 40 | 4
26 | career total | career total | career total | 380 | 26 | 12 | 0 | 6 | 0 | 13 | 0 | 411 | 26"
767,Which isotope has been reported?,"the reported isotopes are 253rf, 254rf, 255rf, 256rf, 257rf, 257mrf, 258rf, 259rf, 259mrf, 260rf, 261rf, 261mrf, 262rf, 263rf,",sixteen different isotopes have been reported with atomic masses from 253 to 270 (with the exceptions of 264 and 269).,select isotope from T;,20,120,"isotope
253rf
254rf
255rf
256rf
257rf
257mrf
258rf
259rf
259mrf
260rf
261rf
261mrf
262rf
263rf
263mrf ?
265rf
266rf
267rf
268rf
270rf"
1812,Who's the winner of the championship and who is in the second place?,"the winner of the 1922 open championship was walter hagen, and jim barnes, george duncan, and j.h. taylor tied for second place.","walter hagen was the leader at 149, two strokes ahead of jim barnes, george duncan and j.h. taylor.","select player, place from T where place = ""1"" or place = ""t2"";",8,50,"player | place
walter hagen | 1
jim barnes | t2
george duncan | t2
j.h. taylor | t2"
