id,statement,response,label,prediction,sql,r_num_cell,t_num_cell
1-24560733-1.html.csv,the wildcats kept the opposing team scoreless in four games,"Based on the table, there is no game where the opponents' score is 0. Therefore, the claim is false.",1,0,"SELECT game, opponent, opponents, record FROM T WHERE opponents = 0;",16,80
1-24560733-1.html.csv,the wildcats never scored more than 7 in any game they lost,"Based on the table, the wildcats scored 6 points in their game against Tennessee, which is less than 7. Therefore, the claim is true.",1,1,"SELECT game, opponent, wildcats_points FROM T WHERE result = 'loss' AND wildcats_points <= 7;",9,80
1-24560733-1.html.csv,the wildcats lost one game in september and two games in november,"Based on the table, the wildcats lost one game in September and two games in November, therefore the claim is true.",1,1,"SELECT game, date, opponent, result FROM T WHERE date LIKE 'sept%' AND result = 'loss' OR date LIKE 'nov%' AND result = 'loss';",12,80
1-24560733-1.html.csv,"the wildcats played two games in september , four games in october , and four games in november","Based on the table, the wildcats played one game in September, six games in October, and three games in November. Therefore, the claim is false.",1,0,"SELECT game, date, opponent 
FROM T 
WHERE date LIKE 'sept%' OR date LIKE 'oct%' OR date LIKE 'nov%';",30,80
1-24560733-1.html.csv,the most the wildcats outscored an opponent is by 36 points,"Based on the table, the wildcats outscored their opponent by 36 points in one game against Evansville. Therefore, the claim is true.",1,1,"SELECT game, opponent, wildcats_points, opponents FROM T WHERE wildcats_points - opponents = 36;",4,80
1-24560733-1.html.csv,the wildcats kept the opposing team scoreless in ten games,"Based on the provided table, there is no information about the opposing team score in the table, therefore, it is not possible to verify the claim.",0,0,"SELECT game, opponent, opponents, record FROM T WHERE opponents = 0;",16,80
1-24560733-1.html.csv,the wildcats never scored more than 7 points in any game they won,"Based on the table, the wildcats scored 7 points in the game they won against Michigan State, therefore, the claim is true.",0,1,"SELECT game, opponent, wildcats_points FROM T WHERE result = 'win' AND wildcats_points <= 7;",3,80
1-24560733-1.html.csv,the wildcats loss one game in november and two games in september,"Based on the table, the wildcats lost one game in November and one game in September, not two games in September. Therefore, the claim is false.",0,0,"SELECT game, date, opponent, result FROM T WHERE (date LIKE 'nov%' AND result = 'loss') OR (date LIKE 'sept%' AND result = 'loss')",12,80
1-24560733-1.html.csv,"the wildcats played four games in september , two games in october , and two games in november","Based on the table, the wildcats played two games in September, six games in October, and two games in November. Therefore, the claim is false.",0,0,"SELECT game, date FROM T WHERE date LIKE 'sept%' OR date LIKE 'oct%' OR date LIKE 'nov%';",20,80
1-24560733-1.html.csv,the most the wildcats outscored an opponent is by 26 points,"Based on the provided table and SQL query, the claim is true. In game 4 against Georgia, the Wildcats outscored their opponent by 26 points.",0,1,"SELECT game, opponent, wildcats_points, opponents FROM T WHERE wildcats_points - opponents = 26;",4,80
1-25557880-1.html.csv,every team had several wins,"Based on the table, not every team had several wins. For example, the team ""manor motorsport"" had 0 wins in both the 2009 formula 3 euro series and the 2009 masters of formula 3. Therefore, the claim is false.",0,0,SELECT * FROM T;,99,99
2-16776506-2.html.csv,mirielle dittmann was the opponent in the final on hard surface on 6 february 2000 in wellington new zealand,"Based on the table, mirielle dittmann was indeed the opponent in the final on a hard surface on 6 February 2000 in Wellington, New Zealand. Therefore, the claim is true.",1,1,"SELECT opponent_in_final, surface, date, location
FROM T
WHERE opponent_in_final = 'mirielle dittmann' AND surface = 'hard' AND date = '2000-2-6' AND location = 'wellington , new zealand';",4,70
2-16776506-2.html.csv,"on 2 may 1999 , the surface was hard","Based on the table, on 2 May 1999, the surface was indeed hard. Therefore, the claim is true.",1,1,SELECT surface FROM T WHERE date = '1999-5-2';,1,70
2-16776506-2.html.csv,the opponent in final on 6 february 2000 in wellington new zealand on hard surface was katerina kramperová,"Based on the table, the opponent in the final on 6 February 2000 in Wellington, New Zealand on a hard surface was Mirielle Dittmann, not Katerina Kramperová. Therefore, the claim is false.",0,0,select * from T,70,70
2-16776506-2.html.csv,the surface was grass on 2 may 1999,"Based on the table, the surface on 2 May 1999 was hard, not grass. Therefore, the claim is false.",0,0,"SELECT surface, date FROM T WHERE date = '1999-5-2';",2,70
2-14175075-5.html.csv,cedar rapids is the site with the earliest date,"Based on the provided table and SQL query, the claim is false. The site with the earliest date is Peoria, not Cedar Rapids.",1,0,"SELECT site, date FROM T ORDER BY date ASC LIMIT 1;",2,78
2-14175075-5.html.csv,volleyball is the sport with the 2nd earliest date,"Based on the provided SQL query, the sport with the 2nd earliest date is women's cross country with a date of 2007-11-10. Therefore, the claim that volleyball is the sport with the 2nd earliest date is false.",1,0,"SELECT sport, date FROM T ORDER BY date ASC LIMIT 1 OFFSET 1;",2,78
2-14175075-5.html.csv,softball is the sport with the latest date,"Based on the table, softball is indeed the sport with the latest date, which is 2008-4-1. Therefore, the claim is true.",1,1,"SELECT sport, date FROM T ORDER BY date DESC LIMIT 1;",2,78
2-14175075-5.html.csv,w gymnastics is the sport with the earliest date in 2008,"Based on the table, the sport with the earliest date in 2008 is w gymnastics on February 22, 2008. Therefore, the claim is true.",1,1,"SELECT sport, date FROM T WHERE date = (SELECT MIN(date) FROM T WHERE date LIKE '2008%') AND sport = 'w gymnastics';",2,78
2-14175075-5.html.csv,wrestling is the sport with the latest date in 2007,"Based on the table, wrestling is not the sport with the latest date in 2007. The latest date in 2007 is 2007-12-9, which corresponds to the wrestling match, but there are other sports with later dates in 2007 such as softball on 2008-4-1. Therefore, the claim is false.",1,0,select * from T,78,78
2-14175075-5.html.csv,ames is the site with the earliest date,"Based on the table, ames is the site with the earliest date of 2007-12-5, therefore, the claim is true.",0,1,"SELECT site, date FROM T WHERE site = 'ames' ORDER BY date ASC LIMIT 1;",2,78
2-14175075-5.html.csv,volleyball is the sport with the earliest date,"Based on the table, the earliest date is 2007-11-10 for the sport ""m cross country"". Therefore, the claim that volleyball is the sport with the earliest date is false.",0,0,"SELECT sport, date FROM T ORDER BY date ASC LIMIT 1;",2,78
2-14175075-5.html.csv,softball is the sport with the second latest date,"Based on the table, the sport with the second latest date is women's gymnastics on 2008-3-7, therefore, the claim is false.",0,0,"SELECT sport, date FROM T ORDER BY date DESC LIMIT 1 OFFSET 1;",2,78
2-14175075-5.html.csv,w gymnastics is the sport with the earliest date in 2007,"Based on the table, the earliest date in 2007 is 2007-9-4 which corresponds to m golf, not w gymnastics. Therefore, the claim is false.",0,0,select * from T,78,78
2-14175075-5.html.csv,wrestling is the sport with the latest date in 2008,"Based on the table and the SQL query, the sport with the latest date in 2008 is softball, not wrestling. Therefore, the claim is false.",0,0,"SELECT sport, date FROM T WHERE date LIKE '2008%' ORDER BY date DESC LIMIT 1;",2,78
2-11512626-6.html.csv,"in a game on august 30 , mohler (1 - 10) took the loss while in a game on august 31 oquist (2 - 5) suffered the loss","Based on the table, on August 30, Mohler (1-10) took the loss, and on August 31, Oquist (2-5) also suffered the loss. Therefore, the claim is true.",1,1,"SELECT date, loss FROM T WHERE date = 'august 30' AND loss = 'mohler (1 - 10)' OR date = 'august 31' AND loss = 'oquist (2 - 5)';",4,203
2-11512626-6.html.csv,only two times was the attendance less than 20000 people and it was on august 4 and august 5,"Based on the table, there were only two instances where the attendance was less than 20000 people, which were on August 4 and August 5. Therefore, the claim is true.",1,1,"SELECT date, attendance FROM T WHERE attendance < 20000 AND (date = 'august 4' OR date = 'august 5');",4,203
2-11512626-6.html.csv,the attendance on august 26 and august 27 was 48063 and 48032,"Based on the table, the attendance on August 26 was 48063 and the attendance on August 27 was 48032. Therefore, the claim is true.",1,1,SELECT attendance FROM T WHERE date = 'august 26' OR date = 'august 27';,2,203
2-11512626-6.html.csv,"when the score was 10 - 4 , the colorado rockies' record went to 68 - 70 in a game against the athletics","Based on the table, when the score was 10 - 4, the colorado rockies' record was 68 - 70, and the opponent was the athletics. Therefore, the claim is true.",1,1,SELECT record FROM T WHERE score = '10 - 4' AND opponent = 'athletics';,1,203
2-11512626-6.html.csv,on august 27 remlinger (6 - 6) took the loss as the rockies went to 64 - 70,"Based on the table, on august 27 remlinger (6 - 6) did take the loss as the rockies went to 64 - 70, therefore, the claim is true.",1,1,"SELECT date, loss, record FROM T WHERE date = 'august 27' AND loss = 'remlinger (6 - 6)' AND record = '64 - 70';",3,203
2-11512626-6.html.csv,"in a game on august 30 , mogler (1 - 10) won while in a game against oquist","Based on the table, in a game on August 30, Mogler (1-10) won while in a game against Oquist, therefore, the claim is true.",0,1,select * from T,203,203
2-11512626-6.html.csv,the attendance was less than 20000 over five times between august 4th and 6th,"Based on the provided table and SQL query, the claim is false. The attendance was less than 20000 on two occasions (August 4th and August 5th), not five times.",0,0,"SELECT date, attendance FROM T WHERE date BETWEEN 'august 4' AND 'august 6' AND attendance < 20000;",4,203
2-11512626-6.html.csv,on august 26 the attendance was 24343 and on august 27th the attendance was 2142,"Based on the provided table, the claim is false. On August 26th, the attendance was 48063, not 24343. On August 27th, the attendance was 48032, not 2142.",0,0,select * from T,203,203
2-11512626-6.html.csv,"when the score was 4 - 5 , the athletics record went 53 - 32 against the colorado rockies","Based on the provided table, there is no record of the Athletics having a score of 4-5 against the Colorado Rockies. Therefore, the claim is false.",0,0,select * from T,203,203
2-11512626-6.html.csv,"on august 25 , remlinger (6 - 6) took the win against the rockies","Based on the table, on August 25, remlinger (6 - 6) did not take the win against the Rockies. The score was 6 - 4 in favor of the Reds. Therefore, the claim is false.",0,0,select * from T,203,203
2-12523044-5.html.csv,steve stricker had a score lower than phil mickelson,"Based on the table, Steve Stricker had a score of 139, while Phil Mickelson had a score of 143. Therefore, the claim is true.",1,1,"SELECT player, score FROM T WHERE player = 'steve stricker' OR player = 'phil mickelson';",4,60
2-12523044-5.html.csv,pádraig harrington is the only player from northern ireland,"Based on the provided table, the claim is false. The table only shows one player from Northern Ireland, which is Graeme McDowell. Therefore, there may be other players from Northern Ireland who are not included in the table.",0,0,"SELECT player, country FROM T WHERE country = 'northern ireland';",2,60
