response,answer,table_id,key,question
"In 2019, Shagun Sharma appeared in the TV shows Laal Ishq, Vikram Betaal Ki Rahasya Gatha, and Shaadi Ke Siyape. She played the roles of Pernia, Rukmani/Kashi, and Dua, respectively.","In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.",totto_source/dev_json/example-2205.json,2206,What TV shows was Shagun Sharma seen in 2019?
The Vietnamese Fatherland Front won all 424 seats in the 1975 North Vietnamese legislative election.,"In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.",totto_source/train_json/example-7854.json,15555,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?
"In 2009, Christian Cooke played the role of Luke Rutherford-Van Helsing in the TV series Demons and Lord Dorian Gaudain in the TV series Trinity.","During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.",totto_source/dev_json/example-560.json,561,What roles did Christian Cooke play in 2009?
"The track with the lowest BPM in the Speed SFX series is ""Rhythm & Police (K.O.G G3 Mix)"" from Bayside Shakedown with a BPM of 175. The track with the highest BPM is ""Mission: Impossible Theme"" with a BPM of 195.","The Speed SFX's lowest bpm is 175 on tracks #5–16, and the highest bpm is 195 on #20 in the Speed series.",totto_source/train_json/example-2134.json,9835,"Which track has the lowest bpm, and which has the highest on the Speed SFX series?"
Kazunari Okayama started his career in 1997 with Yokohama Marinos in the J1 League.,Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,totto_source/train_json/example-13717.json,21418,When and in which club and league did Kazunari Okayama start his career?
"The German submarine U-438 caused a total damage of 17,541 tons (GRT).","The U-438 sank three ships, totalling 12,045 gross register tons (GRT) and damaged one ship totalling 5,496 GRT.",totto_source/train_json/example-331.json,8032,How much overall damage did the German submarine U-438 cause?
Yu Da-Hyun (유다현) set the fastest average in Megaminx.,The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,totto_source/dev_json/example-430.json,431,Who set the fastest average in Megaminx?
Faye appeared for Hull City in the seasons 2012-13 and 2013-14.,Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,totto_source/train_json/example-13152.json,20853,What seasons did Faye appear for Hull City?
"The isotopes that have been reported are 253Rf, 254Rf, 255Rf, 256Rf, 257Rf, 257mRf, 258Rf, 259Rf, 259mRf, 260Rf, 261Rf, 261mRf, 262Rf, 263Rf, 263mRf, 265Rf, 266Rf, 267Rf, 268Rf, and 270Rf.",Sixteen different isotopes have been reported with atomic masses from 253 to 270 (with the exceptions of 264 and 269).,totto_source/dev_json/example-766.json,767,Which isotope has been reported?
"Walter Hagen is the winner of the championship. Jim Barnes, George Duncan, and J.H. Taylor are tied for second place.","Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.",totto_source/dev_json/example-1811.json,1812,Who's the winner of the championship and who is in the second place?
"In 2011, Yu Zheng won the Most Popular Screenwriter award at the Grand Ceremony of Movie & TV New Forces for his work on the TV show Palace.","In 2011 Yu was noted for Palace, which earned him a Best Screenwriter award at the 16th Asian Television Awards.",totto_source/train_json/example-7363.json,15064,What significant career achievement did Yu make in 2011?
"Huang Yu-ting performed well in the 2009 World Games. She won gold medals in the Women's 300 m time trial, Women's 500 m sprint, and Women's 1000 m sprint events.","As an inline speed skater, Huang won three gold medals at the 2009 World Games in Chinese Taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.",totto_source/dev_json/example-1833.json,1834,How's Huang Yu-ting doing in the 2009 World Games?
"Art Howe coached the Yale Bulldogs in 1912, and his overall record with the team was 7-1-1.",Howe led the Yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,totto_source/train_json/example-13923.json,21624,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?"
"In 1996, Marisol Nichols appeared in the following shows: My Guys, Due South, and Beverly Hills, 90210.","In 1996, Marisol Nichols appeared in My Guys, Due South, and Beverly Hills, 90210.",totto_source/train_json/example-9029.json,16730,What shows did Marisol Nichols appear in during 1996?
"The last two finishers in the Women's 800 metre freestyle, Lotte Friis from Denmark and Sarah Köhler from Germany, finished in 7th and 8th place respectively.",Denmark's Lotte Friis recorded a time of 8:24.50 and Germany's Sarah Köhler recorded a time of 8:27.75 at the Olympics.,totto_source/train_json/example-2363.json,10064,How did the last two finishers perform in the Women's 800 metre freestyle?
"In the East Antrim election in the 1910's, the Unionist candidate, Robert McCalmont, performed well. He received 15,206 votes, which accounted for 94.6% of the total votes cast. He also had a majority of 14,345 votes, which was 89.3% of the total votes. Therefore, it can be said that the Unionist candidate had a strong performance in the election.","The Unionist candidate had a victory by 15,206 votes to Sinn Féin's 861 votes.",totto_source/train_json/example-13458.json,21159,How did the Unionist Candidate perform in the East Antrim election in the 1910's?
