id,question,response,answer,sql,r_num_cell,t_num_cell,linear_table
14571,How many stations does Koumi Line have altogether and what are they?,"koumi line has a total of 30 stations. the stations are:
aonuma, haguroshita, higashi-komoro, iwamurada, kai-koizumi, kai-ōizumi, kaize, kita-nakagomi, kiyos","koumi line has 31 stations including kobuchizawa station in hokuto, yamanashi and komoro station in komoro, nagano.","select count(station), station from T group by station;",64,288,"count(station) | station
1 | aonuma
1 | haguroshita
1 | higashi-komoro
1 | iwamurada
1 | kai-koizumi
1 | kai-ōizumi
1 | kaize
1 | kita-nakagomi
1 | kiyosato
1 | kobuchizawa
1 | koumi
1 | managashi
1 | matsubarako
1 | misato
1 | mitsuoka
1 | nakagomi
1 | nakasato
1 | namezu
1 | nobeyama
1 | otome
1 | saku-hirose
1 | saku-uminokuchi
1 | sakudaira
1 | shinano-kawakami
1 | station
1 | takaiwa
1 | tatsuokajō
1 | umijiri
1 | usuda
1 | yachiho
1 | ōtabe
1 | 小諸"
21473,"In the 1947 Tour De France, how many stages did the course consist of and what was the total course distance?","the 1947 tour de france consisted of 21 stages and the total course distance was 9,272 kilometers.","the 1947 tour de france total race distance was 21 stages over 4,642 km (2,884 mi).","select count(stage) as num_stages, sum(distance) as total_distance from T;",2,216,"num_stages | total_distance
21.0 | 9272.0"
2252,How many games did Peter Lee play with the Pittsburgh Penguins?,peter lee did not play any games with the pittsburgh penguins in the regular season.,peter lee played 431 national hockey league games with the pittsburgh penguins..,select regular_season from T;,30,480,"regular_season
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None"
21387,How many games did Shay Given play during the 2014-2015 Premier League season and for which club?,"during the 2014-2015 premier league season, shay given played 10 games for aston villa.",shay given has played three games in the 2014–15 premier league season for aston villa.,"select club, season, league, total from T where season = ""2014–15"" and league = ""premier league"";",4,462,"club | season | league | total
aston villa | 2014–15 | premier league | 10"
1752,When did season 6 of Reborn! air?,"season 6 of reborn! aired on the following dates: 2009-7-11, 2009-7-18, 2009-7-25, 2009-8-1, 2009-8-8, 2009-8-15, 2009","season 6 of reborn! aired between july 11, 2009 and october 3, 2009.",select original_airdate from T;,26,104,"original_airdate
2009-7-11
shoichi irie tells tsuna that in order to open the vongola box, the 7 arcobaleno seals are needed. in order to obtain the seals, tsuna needs to overcome the arcobaleno trials.
2009-7-18
back in the past, the 7 arcobaleno are heading to namimori to present tsuna with their trials. meanwhile, in the future, irie is telling tsuna and his friends the details before sending them to the past.
2009-7-25
2023-12-10, tsuna's class receives 2 transfer students, monta hariyama and himeko hariyama. during the break, tsuna is attacked by lal mirch of their time period who reveals she will be the observer of the arcobaleno trials.
2009-8-1
colonnello continues to overwhelm the 2. he is defeated when gokudera distracts colonnello for tsuna to use x-burner on him.
2009-8-8
mukuro and hibari continue their battle and lal appears announcing this is the second trial. skull calls his pet octopus to combat but tsuna easily defeats it.
2009-8-15
tsuna, yamamoto and ryohei are called out to namimori middle school where they encounter mammon, who reveals he has kyoko hostage.
2009-8-22
tsuna returns home after completing the trial. 2023-12-10, tsuna receives a letter from the arcobaleno, fong, who is also revealed to be i-pin's martial arts sensei.
2009-8-29
tsuna and his friends discuss who the remaining arcobaleno are. at that moment, a woman wielding an orange pacifier, named aria, arrives with haru and kyoko and reveals that she will give tsuna his next trial.
2009-9-5
reborn tells tsuna and his guardians to assemble at namimori island for the next trial. when everyone reaches namimori island, the trial is revealed to be a battle of tsuna's family against reborn.
2009-9-12
while tsuna's family is recuperating, verde completes the first stage for his box weapons and decides to seek out the vongola rings to help him complete the second stage.
2009-9-19
verde sends out robots to seek the tsuna's missing 2 guardians, lambo and hibari. hibari defeats his robot and fong defeats the robot pursuing lambo.
2009-9-26
verde demands tsuna and his guardians to surrender the vongola ring in return for the arcobaleno's lives. tsuna refuses to compiles as the rings will be needed for the future battles and declares they shall defeat verde and save the arcobaleno.
2009-10-3
tsuna, with his hyper intuition, feels that verde is nearby and finds verde hiding in a nearby island. verde declares his research is complete after gathering data on the vongola rings' flames and states he will not need the vongola rings any more."
1679,What singles followed up Heaven 17's Pleasure One?,"the table does not provide information about the album ""pleasure one"" by heaven 17. therefore, we cannot determine the singles that followed it up based on the given table.","heaven 17's pleasure one was followed up in 1988 with the album teddy bear, duke & psycho, featuring the singles ""train of love in motion"" and ""the ballad of go go brown"".","select single, year from T;",64,480,"single | year
single | year
""(we don't need this) fascist groove thang"" | 1981
""i'm your money"" | 1981
""play to win"" | 1981
""penthouse and pavement"" | 1981
""the height of the fighting (he-la-hu)"" | 1982
""let me go"" | 1982
""who'll stop the rain"" | 1982
""temptation"" | 1983
""we live so fast"" | 1983
""come live with me"" | 1983
""crushed by the wheels of industry"" | 1983
""sunset present_ref"" | 1984
""this is mine"" | 1984
""...(and that's no lie)"" | 1985
""the foolish thing to do"" (feat. jimmy ruffin) | 1986
""contenders"" | 1986
""trouble"" | 1987
""the ballad of go go brown"" | 1988
""train of love in motion"" | 1988
""temptation"" (brothers in rhythm remix) | 1992
""(we don't need this) fascist groove thang"" (the rapino brothers remixes) | 1993
""penthouse and pavement"" (the tommy d remixes) | 1993
""designing heaven"" | 1996
""we blame love"" | 1997
""with this ring let me go"" (molella & phil jay present heaven 17 meets fast eddie) | 1998
""hands up to heaven"" | 2006
""i'm gonna make you fa in love with me"" | 2007
""don't fear the reaper"" | 2008
""only after dark (7"" & cd-r ltd ed. of 100 – o.a.d event release)"" | 2013
""illumination"" & ""pray"" (limited edition vinyl) | 2014
""captured"" & ""unseen"" (limited edition vinyl) | 2016"
14967,"What major career event happened to Ben Chorley in 2015-2016, and where did he play before and after?","in 2015-2016, ben chorley played for bromley.","after two seasons at portsmouth, ben chorley joined national league club bromley at the start of the 2015–16 season.","select season, club from T where season between 2015 and 2016;",2,448,"season | club
2015–16 | bromley"
21627,How many overall goals and appearances did Iván de la Peña make for the Spanish La Liga League?,iván de la peña made a total of 269 appearances and scored 24 goals in the spanish la liga league.,iván de la peña made 19 goals in 269 games for barcelona and espanyol in la liga.,"select league, club_performance, total, total1 from T;",108,378,"league | club_performance | total | total1
apps | season | apps | goals
league | spain | total | total
31 | 1995–96 | 42 | 9
33 | 1996–97 | 41 | 3
17 | 1997–98 | 21 | 2
league | italy | total | total
14 | 1998–99 | 19 | 1
league | france | total | total
12 | 1999–2000 | 19 | 1
league | spain | total | total
9 | 2000–1 | 12 | 0
league | italy | total | total
1 | 2001–2 | 2 | 0
league | spain | total | total
29 | 2002–3 | 29 | 0
25 | 2003–4 | 25 | 1
29 | 2004–5 | 30 | 3
30 | 2005–6 | 44 | 0
26 | 2006–7 | 38 | 1
12 | 2007–8 | 15 | 0
22 | 2008–9 | 22 | 4
4 | 2009–10 | 5 | 0
2 | 2010–11 | 2 | 0
269 | total | 327 | 24
15 | total | 21 | 1
12 | total | 19 | 1
296 | career total | 367 | 26"
20827,How many goals did Ashley Williams score for the Swans and how many appearances did Ashley make?,ashley williams scored a total of 14 goals for the swans and made a total of 322 appearances.,"ashley williams had 352 appearances for the swans, scoring 14 goals.","select club, season, league, league1, league2, total, total1 from T;",189,378,"club | season | league | league1 | league2 | total | total1
club | season | division | apps | goals | apps | goals
hednesford town | 2001–2 | southern league premier division | 2 | 0 | 4 | 0
hednesford town | 2002–3 | southern league premier division | 33 | 0 | 42 | 0
hednesford town | 2003–4 | southern league premier division | 11 | 0 | 14 | 0
hednesford town | total | total | 46 | 0 | 60 | 0
stockport county | 2003–4 | second division | 10 | 0 | 10 | 0
stockport county | 2004–5 | league 1 | 44 | 1 | 49 | 2
stockport county | 2005–6 | league 2 | 36 | 1 | 38 | 1
stockport county | 2006–7 | league 2 | 46 | 1 | 50 | 1
stockport county | 2007–8 | league 2 | 26 | 0 | 29 | 0
stockport county | total | total | 162 | 3 | 175 | 4
swansea city | 2007–8 | league 1 | 3 | 0 | 3 | 0
swansea city | 2008–9 | championship | 46 | 2 | 51 | 2
swansea city | 2009–10 | championship | 46 | 5 | 46 | 5
swansea city | 2010–11 | championship | 46 | 3 | 53 | 3
swansea city | 2011–12 | premier league | 37 | 1 | 40 | 1
swansea city | 2012–13 | premier league | 37 | 0 | 41 | 0
swansea city | 2013–14 | premier league | 34 | 1 | 43 | 1
swansea city | 2014–15 | premier league | 37 | 0 | 39 | 0
swansea city | 2015–16 | premier league | 36 | 2 | 36 | 2
swansea city | total | total | 322 | 14 | 352 | 14
everton | 2016–17 | premier league | 36 | 1 | 39 | 1
everton | 2017–18 | premier league | 24 | 1 | 34 | 2
everton | 2018–19 | premier league | 0 | 0 | 0 | 0
everton | total | total | 60 | 2 | 73 | 3
stoke city (loan) | 2018–19 | championship | 33 | 1 | 37 | 1
career total | career total | career total | 624 | 20 | 698 | 22"
21688,"In the 1929 Tour De France, how many stages did the course consist of and what was the total course distance?","the 1929 tour de france consisted of 22 stages and the total course distance was 10,544 kilometers.","the 1929 tour de france consisted of 22 stages and over 5,286 km (3,285 mi) total distance.","select count(distinct stage) as num_stages, sum(distance) as total_distance from T;",2,207,"num_stages | total_distance
22.0 | 10544.0"
