id,question,answer,prediction,sql,response,r_num_cell,t_num_cell
nu-30,what is the name listed before mount pleasant line?,pennsylvania avenue metro extra line,mount pleasant line,select name from T where name like '%mount pleasant line%',direct ans,1,540
nu-44,which year did the team have their most total wins?,1992,"2014, but the number of total wins is unknown","select season, total_wins from T order by total_wins desc limit 1","Based on the table, the team's most total wins occurred in the year 2014. However, it is mentioned that the status for the 2014 season is ""upcoming"" instead of a specific number of wins. Therefore, we cannot determine the exact number of wins in the 2014 season. 
Therefore, the answer is 2014, but the number of total wins is unknown.",2,1332
nu-141,how many total wins did the citadel bulldogs have before 1908?,6,6,select sum(total_wins) from T where season < 1908,direct ans,1,1332
nu-158,how many different flyby's have been done for the halley comet?,6,1,select count(spacecraft_encounters) from T where comet = 't13/halley',direct ans,1,1485
nu-208,"what is the number of counties in saegertown, pennsylvania?",1,1,select number_of_counties from T where name_of_place = 'saegertown',direct ans,1,3102
nu-237,"which coach served longer, higgins or powers?",kevin higgins,"based on the table, the most recent season listed for head coach kevin higgins is 2013. however, there is no information available for head coach powers in the table. therefore, we cannot determine which coach served longer based on the given information.","select head_coach, season from T where head_coach like '%higgins%' or head_coach like '%powers%' order by season desc limit 1","Based on the table, the most recent season listed for head coach Kevin Higgins is 2013. However, there is no information available for head coach Powers in the table. Therefore, we cannot determine which coach served longer based on the given information. ",2,1332
nu-263,tell me the number of lines that stop at the naylor road station.,3,2,select count(*) from T where terminals1 like '%naylor road station%',direct ans,1,540
nu-279,progressive republican is his party association.,william kent,progressive republican,"select representative, party from T where party like '%progressive republican%'","Based on the table, the representative's name is William Kent and his party association is Progressive Republican. 
Therefore, the answer is Progressive Republican.
Answer: Progressive Republican",2,1992
nu-348,what was the first pod color in the list of leroy & stitch episode?,blue,blue,select pod_color from T where episode = 'leroy & stitch' order by row_number asc limit 1,direct ans,1,594
nu-367,"city with the highest altitude with a population greater than 100,000",brașov,brașov,"select city, altitude_m from T where population_2011 > 100000 order by altitude_m desc limit 1","Based on the table, the city with the highest altitude and a population greater than 100,000 is Brașov, with an altitude of 625.0 meters. 
Therefore, the answer is Brașov.
Answer: Brașov",2,2233
nu-395,how many total experiments are there?,99,99,select count(*) from T,direct ans,1,594
nu-401,"alphabetically, which place in pennsylvania comes before sadlers corner?",sacramento,sacramento,select name_of_place from T where name_of_place < 'sadlers corner' order by name_of_place desc limit 1,direct ans,1,3102
nu-441,which artist is above the last artist,rihanna,ayumi hamasaki,select artist from T where row_number = (select max(row_number) from T),direct ans,1,1368
nu-444,name two people who both are 28 years old,"craig phillips,tom mcdermott",craig phillips and tom mcdermott,select name from T where age = 28 limit 2,"Based on the table, the two people who are both 28 years old are Craig Phillips and Tom McDermott. 
Therefore, the answer is Craig Phillips and Tom McDermott.
Answer: Craig Phillips and Tom McDermott",2,1939
nu-514,how many table dancers were evicted?,1,1,select count(*) from T where occupation like '%table dancer%' and status like '%evicted%',direct ans,1,1939
nu-546,how many happened after august 1st?,33,35,select count(*) from T where date_time_ut > '1972-08-01',direct ans,1,385
nu-553,name all models with the same mpg as fiat 500 1.4 pop.,"fiat 500 1.4 lounge 3d,fiat 500 1.4 sport,citroen c4 2.0 sx 5dr 6sp a d,volkswagen golf tdi 103kw 4motion,peugeot 207 xs 1.4 5dr 5spd m p,saab 9-3 linear convertible 1.9tid m,suzuki swift glx 1.5 5dr,suzuki swift glxh 1.5 5dr,suzuki swift glxh2 1.5 5dr","based on the table, we can see that the mpg_us_gallons value for the model 'fiat 500 1.4 pop' is 0. 
so, we need to find all the models that have an mpg_us_gallons value of 0. 
from the table, we can see that the models with the same mpg as 'fiat 500 1.4 pop' are:
- fiat 500 1.4 lounge 3d
- fiat 500 1.4 sport",select model from T where mpg_us_gallons = (select mpg_us_gallons from T where model = 'fiat 500 1.4 pop'),"Based on the table, we can see that the mpg_us_gallons value for the model 'fiat 500 1.4 pop' is 0. 
So, we need to find all the models that have an mpg_us_gallons value of 0. 
From the table, we can see that the models with the same mpg as 'fiat 500 1.4 pop' are:
- fiat 500 1.4 lounge 3d
- fiat 500 1.4 sport",10,1056
nu-573,is sides located in clarion or indiana county?,indiana county,indiana county,"select name_of_place, principal_county from T where name_of_place like '%sides%' or principal_county like '%clarion%' or principal_county like '%indiana%'","Based on the table, the place ""sides"" is located in Indiana county. This is evident from the entry ""sides | indiana county"" in the table.
Therefore, the answer is Indiana county.
Answer: Indiana county",40,3102
nu-575,what is the number of the population 2011 for the city of ploiesti?,"209,945","209,945",select * from T,"Based on the table, the population in 2011 for the city of Ploiești is 209,945.
Therefore, the answer is 209,945.",2233,2233
nu-642,how many contestants participated in season two?,11,11,select count(*) from T where series = 'bb2',direct ans,1,1939
nu-659,how many total ghost towns are there in franklin county?,3,5,select count(*) from T where county = 'franklin county',direct ans,1,2149
nu-690,how many times is sadsbury township listed?,3,3,select count(*) from T where name_of_place like '%sadsbury township%',direct ans,1,3102
nu-699,who became head coach after ellis johnson?,john zernhelt,george c. rogers,select head_coach from T where head_coach > 'ellis johnson' order by head_coach asc limit 1,direct ans,1,1332
nu-718,was acadia or american samoa established first?,acadia,acadia,"select name, date_established from T where name like '%acadia%' or name like '%american samoa%' order by date_established asc limit 2","Based on the table, Acadia National Park was established on February 26, 1919, while American Samoa National Park was established on October 31, 1988. 
Therefore, Acadia National Park was established first.
Answer: Acadia",4,354
nu-766,what model has the top mpg (us gallons)?,volkswagen polo 1.4 tdi bluemotion,"based on the table, the model with the top mpg (us gallons) is the volkswagen polo 1.4 tdi bluemotion with a rating of 62.0 mpg.","select model, mpg_us_gallons from T order by mpg_us_gallons desc limit 1","Based on the table, the model with the top mpg (us gallons) is the Volkswagen Polo 1.4 TDI Bluemotion with a rating of 62.0 mpg. ",2,1056
